Transaction ID,Date,Account Number,Transaction Type,Amount,Source System,Reconciliation Status,Discrepancy Reason,Currency,Branch Code,Processed By,Approval Status,Comments,Transaction Mode,Last Modified
TXN000001,2024-03-29,ACC000006,Deposit,6759.57,Bank,Mismatched,Missing,USD,BRC011,User_49,Unknown,Incorrect amount,Unknown,2024-03-29
TXN000002,2024-02-16,ACC000101,Invoice,9018.83,Bank,Matched,None,,BRC013,User_2,Pending,Urgent,Wire Transfer,2024-02-16
TXN000003,2024-02-17,ACC000145,Payment,669.55,CRM,Matched,None,USD,BRC020,User_11,Rejected,Needs review,POS,2024-02-17
TXN000004,2024-01-06,ACC000254,Transfer,-3818.05,General Ledger,Pending,Missing,GBP,BRC015,User_7,Rejected,Incorrect amount,ATM,2024-01-06
TXN000005,2024-02-25,ACC000138,Deposit,-1636.92,Bank,Matched,None,NGN,BRC013,User_11,Approved,Urgent,POS,2024-02-25
TXN000006,2024-02-09,ACC000192,Deposit,11134.72,Payroll,Adjusted,Incorrect Amount,EUR,BRC003,User_44,Approved,,Online,2024-02-09
TXN000007,2024-02-28,ACC000295,Transfer,6449.92,General Ledger,Pending,None,EUR,BRC006,User_37,Rejected,,POS,2024-02-28
TXN000008,2024-03-27,ACC000222,Transfer,11764.08,ERP,Mismatched,Duplicate,NGN,BRC017,User_36,Approved,,Online,2024-03-27
TXN000009,2024-01-06,ACC000373,Withdrawal,931.79,CRM,Mismatched,Duplicate,EUR,BRC019,User_2,Rejected,Duplicate entry,ATM,2024-01-06
TXN000010,2024-02-17,ACC000071,Invoice,6221.98,Payroll,Matched,None,CAD,BRC017,User_39,Pending,Needs review,ATM,2024-02-17
TXN000011,2024-01-01,ACC000115,Invoice,7149.39,Payroll,Pending,None,USD,BRC017,User_17,Approved,Urgent,Manual Entry,2024-01-01
TXN000012,2024-03-26,ACC000133,Transfer,-279.54,Bank,Mismatched,Duplicate,EUR,BRC019,User_5,Pending,Incorrect amount,ATM,2024-03-26
TXN000013,2024-01-24,ACC000225,Deposit,9680.87,Bank,Adjusted,None,EUR,BRC007,User_3,Pending,,ATM,2024-01-24
TXN000014,2024-02-03,ACC000324,Deposit,3136.51,ERP,Adjusted,Missing,EUR,BRC006,User_24,Rejected,Urgent,ATM,2024-02-03
TXN000015,2024-03-08,ACC000406,Withdrawal,-1.04,General Ledger,Mismatched,Incorrect Amount,USD,BRC008,User_31,Pending,Needs review,Wire Transfer,2024-03-08
TXN000016,2024-01-08,ACC000396,Withdrawal,-610.91,CRM,Matched,None,NGN,BRC012,User_24,Pending,Urgent,Online,2024-01-08
TXN000017,2024-02-25,ACC000365,Deposit,11691.98,Payroll,Pending,Duplicate,EUR,BRC008,User_29,Approved,,Manual Entry,2024-02-25
TXN000018,2024-01-01,ACC000114,Withdrawal,6254.63,Bank,Adjusted,None,NGN,BRC016,User_39,Approved,Incorrect amount,Online,2024-01-01
TXN000019,2024-01-10,ACC000015,Payment,-4897.44,ERP,Matched,None,NGN,BRC018,User_47,Pending,Needs review,ATM,2024-01-10
TXN000020,2024-03-07,ACC000113,Deposit,2936.71,CRM,Pending,Duplicate,EUR,BRC018,User_36,Approved,,Online,2024-03-07
TXN000021,2024-02-10,ACC000266,Invoice,14334.0,CRM,Pending,None,GBP,Unknown,User_30,Approved,Duplicate entry,Online,2024-02-10
TXN000022,2024-01-29,ACC000306,Deposit,3321.7,Payroll,Mismatched,Missing,NGN,BRC008,User_14,Rejected,Urgent,Manual Entry,2024-01-29
TXN000023,2024-03-12,ACC000345,Payment,14571.07,Payroll,Matched,None,NGN,BRC004,User_32,Pending,Needs review,ATM,2024-03-12
TXN000024,2024-01-14,ACC000263,Invoice,13212.34,ERP,Matched,None,USD,BRC005,User_28,Rejected,Needs review,POS,2024-01-14
TXN000025,2024-03-08,ACC000156,Withdrawal,12683.48,Payroll,Pending,Duplicate,USD,BRC002,User_1,Rejected,Urgent,ATM,2024-03-08
TXN000026,,ACC000254,Withdrawal,14542.93,CRM,Adjusted,Duplicate,GBP,BRC005,User_10,Approved,,Online,
TXN000027,2024-03-24,ACC000244,Payment,9649.73,ERP,Matched,None,NGN,BRC014,User_44,Approved,,ATM,2024-03-24
TXN000028,2024-01-15,ACC000056,Withdrawal,11038.72,Bank,Matched,None,NGN,BRC013,User_34,Pending,Needs review,ATM,2024-01-15
TXN000029,2024-03-15,ACC000434,Transfer,14253.93,General Ledger,,Missing,GBP,BRC008,User_31,Rejected,Urgent,Online,2024-03-15
TXN000030,2024-02-20,ACC000488,Withdrawal,14342.0,CRM,Matched,None,EUR,BRC016,User_46,Approved,,Wire Transfer,2024-02-20
TXN000031,2024-02-03,ACC000461,Deposit,12043.7,Payroll,Mismatched,Missing,NGN,BRC005,User_8,Rejected,Duplicate entry,POS,2024-02-03
TXN000032,2024-02-18,ACC000478,Payment,2006.38,Bank,Pending,Missing,CAD,BRC011,User_20,Approved,Needs review,Manual Entry,2024-02-18
TXN000033,2024-03-07,ACC000330,Withdrawal,3433.61,General Ledger,Mismatched,Incorrect Amount,GBP,BRC020,User_14,Pending,Incorrect amount,ATM,2024-03-07
TXN000034,2024-03-12,ACC000360,Withdrawal,-1978.93,ERP,Matched,None,,BRC010,User_40,Rejected,Duplicate entry,ATM,2024-03-12
TXN000035,2024-02-28,ACC000473,Deposit,14456.7,Unknown,Matched,None,EUR,BRC004,User_21,Approved,Urgent,Manual Entry,2024-02-28
TXN000036,2024-03-02,ACC000235,Payment,-2998.87,Payroll,Pending,None,NGN,BRC005,User_23,Approved,,ATM,2024-03-02
TXN000037,2024-03-01,ACC000401,Transfer,13674.39,General Ledger,Pending,Duplicate,CAD,BRC009,User_16,Approved,,Online,2024-03-01
TXN000038,2024-03-05,ACC000467,Payment,5130.96,Bank,Matched,None,CAD,BRC012,User_13,Rejected,Confirmed,POS,2024-03-05
TXN000039,2024-01-26,ACC000248,Invoice,3825.86,ERP,Mismatched,Incorrect Amount,EUR,BRC009,User_7,Approved,,POS,2024-01-26
TXN000040,2024-02-10,ACC000456,Deposit,14286.33,Payroll,Pending,Duplicate,USD,BRC003,User_33,Rejected,Urgent,Wire Transfer,2024-02-10
TXN000041,2024-01-09,ACC000110,Deposit,12969.32,CRM,Mismatched,Incorrect Amount,USD,BRC009,User_17,Rejected,Confirmed,Online,2024-01-09
TXN000042,2024-03-31,ACC000205,Invoice,-2599.54,Bank,Pending,Duplicate,USD,BRC013,User_9,Approved,Incorrect amount,Wire Transfer,2024-03-31
TXN000043,2024-01-08,ACC000256,Invoice,4636.88,CRM,Adjusted,Duplicate,EUR,BRC004,User_7,Approved,Incorrect amount,ATM,
TXN000044,2024-01-15,ACC000351,Transfer,3234.67,ERP,Pending,Duplicate,USD,BRC004,User_11,Approved,Incorrect amount,Online,2024-01-15
TXN000045,2024-02-29,ACC000308,Withdrawal,6770.77,CRM,Mismatched,None,EUR,BRC001,User_24,Rejected,Incorrect amount,Manual Entry,2024-02-29
TXN000046,2024-02-13,ACC000275,Payment,-817.23,Payroll,Matched,None,CAD,BRC004,User_38,Rejected,,POS,2024-02-13
TXN000047,2024-01-29,ACC000008,Transfer,571.47,Payroll,Pending,None,NGN,BRC006,User_17,Approved,,Online,2024-01-29
TXN000048,2024-02-06,ACC000384,Deposit,2501.08,Bank,Mismatched,Missing,CAD,BRC004,User_28,Pending,Duplicate entry,Manual Entry,2024-02-06
TXN000049,2024-03-05,ACC000087,Withdrawal,-2818.35,ERP,Mismatched,None,CAD,BRC007,User_33,Rejected,Urgent,Wire Transfer,2024-03-05
TXN000050,2024-02-04,ACC000124,Invoice,1784.9,Payroll,Pending,Duplicate,GBP,BRC015,User_21,Pending,,Manual Entry,2024-02-04
TXN000051,2024-03-07,,Invoice,-176.94,ERP,Matched,None,EUR,BRC004,User_41,Rejected,Needs review,ATM,2024-03-07
TXN000052,2024-03-09,ACC000367,Payment,247.31,Bank,Mismatched,Incorrect Amount,NGN,BRC011,User_32,Approved,Incorrect amount,Online,2024-03-09
TXN000053,2024-02-22,ACC000267,Withdrawal,8528.88,Payroll,Matched,None,EUR,BRC008,User_14,Rejected,Needs review,Manual Entry,2024-02-22
TXN000054,2024-03-24,ACC000417,Unknown,13425.26,Payroll,Mismatched,Missing,NGN,BRC020,User_40,Approved,Urgent,Wire Transfer,2024-03-24
TXN000055,2024-01-26,ACC000162,Payment,6490.31,Payroll,Matched,None,GBP,BRC002,User_42,Pending,,Wire Transfer,2024-01-26
TXN000056,2024-03-28,ACC000378,Payment,-3546.47,Payroll,Matched,None,CAD,BRC001,User_35,Approved,Confirmed,Wire Transfer,2024-03-28
TXN000057,2024-01-29,ACC000463,Withdrawal,11465.75,CRM,Pending,None,NGN,BRC011,User_37,Pending,Needs review,Online,2024-01-29
TXN000058,2024-01-27,ACC000306,Payment,-3179.15,Payroll,Matched,None,EUR,BRC003,User_12,Pending,,Manual Entry,2024-01-27
TXN000059,2024-03-26,ACC000383,Deposit,7653.98,General Ledger,Mismatched,Incorrect Amount,GBP,BRC008,User_26,Pending,Urgent,POS,2024-03-26
TXN000060,2024-01-01,ACC000017,Invoice,7120.02,ERP,Mismatched,None,CAD,BRC004,User_49,Pending,Duplicate entry,POS,2024-01-01
TXN000061,2024-02-11,ACC000483,Transfer,-3158.73,Payroll,Adjusted,None,USD,BRC013,User_18,Approved,Confirmed,Online,2024-02-11
TXN000062,2024-02-29,ACC000049,Invoice,-3678.44,General Ledger,Matched,None,,BRC011,User_3,Approved,Duplicate entry,Wire Transfer,2024-02-29
TXN000063,2024-03-29,ACC000134,Payment,8890.16,General Ledger,,Duplicate,USD,Unknown,User_12,Approved,Confirmed,ATM,2024-03-29
TXN000064,2024-03-06,ACC000003,Deposit,6500.35,CRM,Pending,None,EUR,BRC007,User_5,Approved,Duplicate entry,ATM,2024-03-06
TXN000065,2024-03-06,ACC000286,Invoice,-3292.51,CRM,Adjusted,Missing,GBP,BRC017,User_42,Pending,Needs review,Manual Entry,2024-03-06
TXN000066,2024-03-29,ACC000006,Payment,-1046.65,General Ledger,Mismatched,Missing,,BRC020,User_43,Rejected,Incorrect amount,Online,2024-03-29
TXN000067,2024-02-10,ACC000266,Transfer,11701.28,General Ledger,Pending,Missing,USD,BRC018,User_36,Rejected,,Wire Transfer,2024-02-10
TXN000068,2024-01-08,ACC000404,Transfer,9919.44,General Ledger,Adjusted,Incorrect Amount,GBP,BRC006,User_30,Rejected,Duplicate entry,Manual Entry,2024-01-08
TXN000069,2024-01-25,ACC000013,Withdrawal,10156.4,Bank,Mismatched,Incorrect Amount,CAD,BRC016,User_23,Approved,Incorrect amount,Online,2024-01-25
TXN000070,2024-02-26,ACC000027,Withdrawal,9941.32,General Ledger,Pending,Incorrect Amount,USD,BRC006,User_29,Approved,,ATM,2024-02-26
TXN000071,2024-03-13,ACC000043,Deposit,1071.84,ERP,Mismatched,Incorrect Amount,NGN,BRC015,User_4,Rejected,Incorrect amount,Online,2024-03-13
TXN000072,2024-01-30,ACC000320,Invoice,198.7,Bank,Matched,None,NGN,BRC014,User_3,Approved,Confirmed,Wire Transfer,2024-01-30
TXN000073,2024-03-23,ACC000397,Transfer,8582.08,General Ledger,Pending,Duplicate,CAD,BRC003,User_25,Rejected,Needs review,Manual Entry,2024-03-23
TXN000074,2024-02-21,ACC000214,Deposit,9237.61,Payroll,Adjusted,Duplicate,EUR,BRC003,User_16,Approved,Confirmed,Manual Entry,2024-02-21
TXN000075,2024-01-02,ACC000196,Withdrawal,12824.56,ERP,Matched,None,GBP,BRC018,User_38,Rejected,Urgent,Wire Transfer,2024-01-02
TXN000076,2024-02-24,ACC000075,Withdrawal,2016.24,ERP,Adjusted,None,EUR,BRC014,User_3,Rejected,Incorrect amount,POS,2024-02-24
TXN000077,2024-03-02,ACC000448,Withdrawal,-2127.26,Payroll,Matched,None,USD,BRC014,User_12,Approved,Incorrect amount,Manual Entry,2024-03-02
TXN000078,2024-03-02,ACC000138,Deposit,-3902.76,Bank,Pending,Duplicate,USD,BRC001,User_28,Pending,Urgent,ATM,2024-03-02
TXN000079,2024-03-11,ACC000034,Withdrawal,4384.49,Payroll,Adjusted,Duplicate,EUR,BRC003,User_27,Rejected,Confirmed,Wire Transfer,2024-03-11
TXN000080,2024-01-18,ACC000218,Transfer,8197.74,Bank,Adjusted,Duplicate,USD,BRC018,User_9,Unknown,Urgent,ATM,2024-01-18
TXN000081,2024-02-29,ACC000381,Invoice,1002.36,Unknown,Mismatched,Duplicate,EUR,BRC019,User_46,Rejected,Urgent,Online,2024-02-29
TXN000082,2024-01-31,ACC000009,Withdrawal,2701.25,CRM,Adjusted,None,USD,BRC013,User_12,Rejected,Duplicate entry,Online,2024-01-31
TXN000083,2024-01-11,ACC000291,Transfer,12727.94,Payroll,Matched,None,,BRC014,User_49,Unknown,Urgent,ATM,2024-01-11
TXN000084,2024-02-05,ACC000490,Transfer,2932.39,Unknown,Pending,Missing,USD,BRC002,User_31,Pending,Incorrect amount,Manual Entry,2024-02-05
TXN000085,2024-03-22,ACC000373,Transfer,96.6,CRM,Mismatched,None,NGN,BRC007,User_49,Approved,Confirmed,POS,2024-03-22
TXN000086,2024-02-14,ACC000229,Payment,-2379.29,CRM,Matched,None,EUR,BRC005,User_36,Unknown,Needs review,Wire Transfer,2024-02-14
TXN000087,2024-01-08,ACC000329,Withdrawal,1118.75,General Ledger,Adjusted,Missing,CAD,BRC004,User_28,Rejected,Urgent,ATM,2024-01-08
TXN000088,2024-03-25,ACC000324,Withdrawal,396.46,Payroll,Pending,Incorrect Amount,USD,BRC005,User_17,Approved,Incorrect amount,Manual Entry,2024-03-25
TXN000089,2024-03-18,ACC000349,Withdrawal,-2718.56,ERP,Adjusted,Missing,USD,BRC005,User_8,Approved,Confirmed,POS,2024-03-18
TXN000090,2024-01-20,ACC000294,Unknown,14592.2,CRM,Pending,None,CAD,BRC008,User_35,Rejected,Needs review,Manual Entry,
